Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Heat Pump	Dependency=HVAC System Is Shared	Option=None	Option=AC, SEER 8	Option=AC, SEER 10	Option=AC, SEER 13	Option=AC, SEER 15	Option=FIXME Room AC, EER 8.5, 20% Conditioned	Option=FIXME Room AC, EER 10.7, 20% Conditioned	resstock_probability
CR02	1970s	Natural Gas	No	Only Heating Shared	0.093467	0.085712	0.397417	0.25374	0.04504	0.041541	0.083082	0.0001346540150870346
CR02	1970s	None	No	Only Heating Shared	0.093467	0.085712	0.397417	0.25374	0.04504	0.041541	0.083082	0.0
CR02	1970s	Other Fuel	No	Only Heating Shared	0.093467	0.085712	0.397417	0.25374	0.04504	0.041541	0.083082	6.0029798720000015e-06
CR02	1970s	Propane	No	Only Heating Shared	0.093467	0.085712	0.397417	0.25374	0.04504	0.041541	0.083082	0.00024844800000000007
CR02	1970s	Electricity	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1970s	Fuel Oil	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1970s	Natural Gas	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1970s	None	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1970s	Other Fuel	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CR02	1970s	Propane	Yes	Only Heating Shared	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
